processed_text,sentiment
yang penting stabilisas politik dan aman,1
isu gorengan yang sengaja dibuat pemerintah untuk menutupi anjloknya nilai tukar rupiah terhadap dollar mata uang asing lainnya,0
buzzer mana yang tomboy sama yang dikit dikit bilang soros soros,0
tapi cina tidak jual agama dia hny memanfaatkan qi nya saja,2
merdeka bj habibi slm 2 bln dari 15 ribu 18 ribu rupiah nyungsep bila tidak sahkan ruu koruptor n oligarki menguasai koruptor di segala bidang monopoli sebabnya voc londo ireng cara belajar bahasa prance,0
pertanyaan nya ban apakah impor semua iki,2
ayo tebak siapa nama nama besar tersebut masyarakat indonesia wajib kawal kasus korupsi makan bergizi gratis,0
wis jangan ke banyakan omong omong rakyat sudah muak,0
jujur ekonomi 2026 anjlok semua bahan pangan naik mahal semua itu lah yang membuat rakyat menjerit,0
di indonesia investor yang suka investasi di intimidasi malah serponk us karena kartu pejabat nya dipegang cla,0
rupah juga melemah terhadap mata uang vietnam rupiah melemah hampir terhadap semua mata uang asing impor antar negara tetap menggunakan dollar,0
zu1672 bennix mah jualan konten men,2
antihoax9471 ini sekarang bingung kesidolar dasar tidak berpendidikan kali yang bingung,2
kang culik dijadikan pres ya habis kamu pada diperas pajak,0
apakah kebijakan menteri keuangan berdampak signifikan tanpa peran ojk pemerintah melalui menteri keuangan sering mengucurkan dana besar seperti penempatan likuiditas ratusan triliun rupiah ke bank bank himbara tujuannya jelas: mendorong perbankan agar lebih leluasa menyalurkan kredit ke masyarakat dan umkm namun efektivitas kebijakan ini sering dipertanyakan terutama karena adanya hambatan regulasi dari otoritas jasa keuangan ojk peran ojk yang menentukan ojk memiliki kewenangan penuh dalam mengatur dan mengawasi sektor perbankan salah satunya adalah sistem slik sistem layanan informasi keuangan yang mencatat riwayat kredit masyarakat jika seseorang atau umkm pernah macet maka statusnya di slik akan buruk sehingga bank enggan menyalurkan pinjaman meski pemerintah telah menyalurkan dana segar dengan kata lain meskipun pemerintah memberi tambahan likuiditas ke bank tanpa kebijakan relaksasi kredit dari ojk akses pinjaman bagi rakyat kecil tetap tertutup dampak yang terjadi 1 kredit sulit diakses umkm dengan catatan slik buruk tidak akan mendapat pinjaman baru 2 dana terserap di korporasi besar bank lebih memilih menyalurkan kredit ke debitur besar yang dianggap aman 3 kebijakan fiskal tidak efektif penempatan dana pemerintah hanya berputar di sektor formal tanpa menetes ke akar rumput 4 ekonomi lambat pulih karena umkm adalah tulang punggung perekonomian nasional hambatan modal membuat pemulihan berjalan lambat kesimpulan langkah menteri keuangan dalam mengucurkan dana ke perbankan tidak akan signifikan bagi rakyat kecil bila tidak diikuti reformasi aturan oleh ojk oleh sebab itu sinergi antara kebijakan fiskal pemerintah dan kebijakan keuangan ojk menjadi kunci agar dana likuiditas benar benar sampai ke masyarakat yang paling membutuhkan,2
enakan indonesia di jajah lagi deh lbh enak,0
hmm apbnnya naik tapi kalau pengeluarannya juga naik bahkan 34%an dari tahun lalu padahal efesiensi digaungkan sama presiden terus apakah tidak amsyong,0
aku baru tau ada minyak kita murah juga yaa ternyata tapi sepertinya belum pernah lihat di supermarket di batam,1
akhirnya ada juga yang otak nya dipake,2
iyaa mustahil makan bergizi gratis yang beracun dikagumi oleh orang jepang sudah seperti bumi dan langit ketuker,0
kenapa bunga nya tidak di turunin gubernur bi harus di pecat tidak becus dri tdi bagus bagus rupiah 17600 tehadap dollar apa bagus koplak,0
inilah kalau negara di pimpin odgj,0
usut tuntas pelaku korupsi pemerintah pasti melakukan yang terbaik dalam menegakkan hukum tidak ada ruang bagi para koruptor,1
katanya tanggal 1 mau 15 ribu mana ne nyatanya,0
waduh jika yang di depan ituu tembok yang terlihat kokoh pasti saja tidak dapat di terjang maka begitulah yang bisa di lakukan jika yang di depan 2 digit pertumbuhan ekonomi pasti mengarah ke 2 digit,1
