processed_text,sentiment
duitnya dipake buat tahun baruan hidup koruptor tapi ingat neraka menanti anda doa rakyat yang terzolimi doa nya mustazab doain ajh kekal di neraka mereka di doain biar dapet hidayah masih ajh pada buta,negatif
jangan sebut tanggapan misbahun bin satan anggota dpr musuh rakyat yang sebenarnya,negatif
beh indonesia negri birokrasi pasien mau berobat saja akhirnya di jemput malaikat pasien yang sudah sakaratul maut masih belum di tangani karena ada birokrasi yang belum lengkap itu lah paten nya indonesia tapi jangan pakai indonesia lah langsung saja indonesia,negatif
guys nurunin inflasi itu tak mudah guys pak purbaya sedang berusaha doa kan saja inikan belum setahun inflasi tunggu saja prosesnya,netral
indondesh banyak pakai pemimpin bodoh,negatif
jangankan orang asing orang indonesia saja sudah tidak percaya pemerintah,negatif
masalah intinya itu dollar naik rupiah turun mempengaruhi kita rakyat tidak sih kalau aku rakyat bawah sih tidak sih malah yang tkw desa desa suka pada kirim uang ke indonesia yang rugi kan yang beli sesuatu di luar negeri yang suka barang luar mungkin dengan rupiah melemah di banding dollar malah membuat rakyat membeli produk negeri sendiri kalau kita masih mendewakan dollar kita boneka amerika jadi cecunguk mereka yang mudak di kendalikan,negatif
maap 10 tahun kemarin jarang melihat berita seperti inj apa aku baru keluar dari goa,netral
sehat sehat pak di negara ini mentri satu satunya yang saya percaya cuma anda semoga kebaikan menyertai bapak,positif
deflasi dampak dari inflasi setiap deflasi pasti di dahului oleh inflasi,negatif
wees altijd voorzichtig meneer zodat de gebeurtenissen van98 zich niet herhalen en we willen niet dat u opnieuw slachtoffer wordt,netral
kl lihat trend realisasi anggaran yang setiap bulan selalu minus dan di tutup dengan pinjaman baru menunjukkan kondisi keuangan negara status waspada kita lihat sd juni tahun ini,positif
dan di balik aturan 1 pintu exp imp si langga gendot si jiisam sih hanya kacungnya,netral
pak ri1 sedang menyiapkan bubarnya indonesia di tahun 2030 atau semakin maju seperti ucapannya,positif
makan dibarak tni itu kamu banyak yang iri hati pemasak apalagi makan bergizi gratis,negatif
kalau kata si prabowo mah yang penting saya bisa pidato di depan rakyat urusan bahan sembako bisa nanti,netral
perusahaan rintisan yang meminjam uang dari bank akan segera menyatakan kebangkrutan,negatif
yang penting saya kenyang biarkan rakyat lapar katanya koruptor,negatif
makan bergizi gratis itu sudah benar harus dilanjut ekonomi indonesia akan bagus jika diperbaiki pelan pelan,negatif
stabilitas ekonomi nasional tetap menjadi prioritas utama pemerintah dan bank indonesia,positif
makanan murah juga tidak bisa bertahan akibat pemerintahan yang kacau ya allah sungguh dzalim semua pemerintahan prabowo ini saksi kalian untuk diadili di yaumul mizan nanti berjuta berjuta orang,negatif
lah knapa dipotong anggarannya kalau seperti itu lama uang negara habisnya bisnis pejabat jadi terganggu,negatif
bantu jawab ya kak caddev itu disimpen oleh bi kak itu sudah wewenang bi sbg pengelola moneter kalau pemerintah itu tidak punya wewenang pada bi soalnya bi itu didirikan secara independen tidak ada kaitannya sama pemerintah tujuannya biar tidak terpengaruh sama politik dan bi bisa fokus sama tugasnya kalau bank swasta itu lain lagi kak bank swasta itu tujuannya mencari laba,negatif
kenapa orang orang yang ngaku ngaku paling pintar tidak sadar penyebab utama ini bankir bankir global mau indonesia terus jadi budak konsumen dengan terus menjual bahan mentah yang murah,netral
orang terkaya dan orang kaya di indonesia itu uangnya pada di simpan ke dollar parkir dimana belum lagi uang asing mereka itu kapitalis dan membuat perusahaan itu hanya seperti maskot boneka,negatif
my mom alumnie from sgbva,netral
waspada provokasi jangan sampai terhasut konten modelan begini,netral
hai mahasiswa apa dasarnya 18 hari kalau anda memang mahasiswa tulen saran dan solusinya apa jangan asal bisa omong saja tunjukkan bhw anda bisa memberi solusi,netral
purbaya omong omong doang semua barang sudah naik terbang,negatif
istilah nya bapak prabowo kya bocah sd yang ujian nya besok tapi hri ini bru belajar kelarin satu dlu jangan pindah fokus nya bapak gemoy mau fokus mandiri pangan terus lagi mau brantas korupsi makan bergizi gratis waduh,negatif
konten mahal isi daging yang pejabat kita gabisa jelasin,netral
rupiah lemah kerana lemah nya prabowo purbaya,negatif
buka bukaan pak sony jangan kasih kendor biar tahu masyarakat indonesia siapa saja yang ikut terlibat,positif
memang semua yang ada di indonesia buatan china kok banjir impor china bukan cuma paku alat tulis busana muslim saja yang buatan china tapi infrastruktur dan fasilitas publik juga spt kereta api lrt mrt whosh semua buatan china bahkan konsep konsep smart city yang dikorupsi itu juga konsep tiruan dari cina jadi akui saja bahwa indonesia adalah wilayah bagian dari china anak buahnya xi jinping,negatif
syukur alhamdulillah malaysia terus maju,netral
banker bangker yang menjadi kn suku bunga meroket yang membuat rupiah melemah,netral
saham soham sahim yo ndapapa orng wong deso ora punya saham,negatif
lucu nya banyak mao jadi boneka demi perut sendiri,netral
keponakan prabowo bicara banyak kan aa a a nyaa,negatif
sudah rupiah anjlok bunga di naikin bsok apalgi,negatif
tenang apbn bisa dari pajak rakyat jogetin saja,negatif
anggaran defisit gara gara biayai kabinet obesitas makan bergizi gratis dan koperasi,negatif
rupiah melemah itu pengaruh imf karena purbaya nolak utang lagi makin diperlemah lah rupiah diserang juga dari lembaga rating yang terafiliasi imf bankdunia,negatif
semua itu karna mulyono dan kroni2nya,negatif
cepatlah hilang covid 19 dan semoga perekonomian indonesia segera membaik tidak mengalami deflasi lagi,positif
tidak usah dipakai makanya patokan ke dollar ngapain shifting buang dollar tapi masih takut dollar naik kocak,positif
jitojohnson7212 maknya makan makan bergizi gratis jangan makan roti sama keju mengikuti bule buzer itu santing bule di ikuti kan bodoh,negatif
mantap berbagi rezeki juga untuk jin penunggu sekolah,negatif
setiap kali pidato rakyat ketakutan mau bikin masalah apalagi,negatif
jika benar swasembada beras maka pasti beras membanjiri pasaran dan otomatis harga murah tapi faktanya harga beras di pasaran mahal kasihan rakyat,positif
terimakasih semangat pak purbaya yudhi sadewa terus berkarya untuk bangsa dan negara kiranya tuhan menyertai dan menolong memberikan kesehatan dan kekuatan amin,positif
timteng saja yang out malah jongos timteng di indonesia ngasih duitnya ke timteng buat muterin kotak doang ratusan juta kan tidak punya otk,negatif
makanya rupiah makin ancur sama malaysia saja kalah semua investor kabur indonesia ngomong gede sok kuat tapi akhirnya pajak rakyat juga yang diandelin skrg pajak final 05% uda tidak bisa dipake rakyat disuruh bayar 22% naik 6 7x lipat bayar pajak skrg,negatif
anggaran dengan toleransi defisit hanya wajar diterapkan dalam kondisi resesi dan krisis,netral
selamat kepada prabowo subianto ke inginan tercapai jadi presiden deso tidak pakai dollar cekik terus rupiah,negatif
sudah tidak percaya aku dengan penjabat atau pun presiden presiden yang hanya jalan jalan dan para mentri mentri yang buat peraturan sendiri,negatif
rayonsejati6472 pengkhianat bangsa itu pejabat pejabat korup pejabat pejabat yang mark up dana proyek bukan warga yang beli dollar amerika,negatif
kalau jadi pemimpin atau pejabat bukan bukan hanya omong omong tapi lain kenyataan nya di didepan podium bagus bicaranya di belakang lain lagi di indonesi ini pejabat nya hanya memperkaya diri sendiri hanya memeras rakyat bukan membela rakyat dan negara tapi menghancurkan negara,negatif
tidak ada yang tidak bisa diperbaiki dari mekanik handal pakistan,negatif
kagak perlu rakyat yang turun sendiri apbn di manipulasi dan di rampok,negatif
presiden odgj mana pernah mikir negara,negatif
semoga naik terus kalau bisa lebih dari 20 ribu agar yang kerja disini tidak sia sia trimakasih pak purbaya,positif
kejadian itu semua karena dibantu aparat terkait jadi kita jangan terpaku ke exsportit saja tidak bisa terjadi kalau aparatnya benar,netral
nominee di larang tapi masih banyak notaris abu yang menjalankan kalau ampe ada kasus pihak asing pasti kalah coba saja sudah menjadi rahasia umum,negatif
prastyo w5d itu stable coin memang judulnya tidak jelas jadi wajar kalau orang bingung kalau rupiah digital beda lagi cuk yang begini itu jadi isu juga di negara lain ini memang tujuannya supaya kontrol negara ke rakyatnya meningkat karena duitnya bisa diotak atik server,negatif
kalau bennix ngomong nya malaysia ngemis beras ke indonesia itu namanya chenel beniix itu chenel yutub yang tolol dan menyesatkan,negatif
ini akibat mengangkat pejabat pemerintahan yang tidak kompeten cuma sekedar karena teman dekat akhirnya saat terpuruk kayak gini tidak bisa berbuat apa apa cuma bisa omong omong tidak ada bukti kerja nyata dan tindakan yang buat semua bisa stabil jangan biarkan ini berlarut berlarut bisa jadi bom wktu yang sewktu sewktu meledak,negatif
semoga tembus 20rb kita aminkan,positif
jawab jago solusinya tidak punya,negatif
jaman dahulu beli mobil yang harganya 10 juta saja bisa dapat mobil baru jaman sekarang uang 10 juta bisa beli mobil bekas dari banjir bekas nabrak orang,netral
jadi makan bergizi gratis di hentikan karena lahan korupsi meracuni anak 2 bangsa bahkan ada yang meninggal jadi tidak ada manfat dana bantuan pendidikan daerah yang masih miskin dan tertinggal sd inpres lagi terima kasih,negatif
ihsg turun karena bobroknya pemerintahan pidatonya juga asal njeplak,negatif
yang comment buzzer semua mencoba menjatuhkan pemerintah,negatif
dari dulu saya sudah yakin makan bergizi gratis ini sarang korupsi,negatif
orang itu banyak alesan dan suka salahin orang tidak mau intropeksi diri,negatif
makin mereka pejabat oportunis bodoh banyak ngebacot dimedia apalagi prabowo pidato chart market tambah lari kebawah,negatif
yang ke mall tidak belanja cuma lihat lihat doang karena daya beli terpuruk kl belinya di pasar murah bukan beli yang di mall mas bro,netral
kalau pejabat indonesia moralnya kayak pejabat singapura pasti indonesia jadi negara super kaya,negatif
wang rupiah tidak ada harga nya kalau di bandingkan dengan mata wang negara lain ringgit malaysia 1ribu ringgit bersamaan dengan 4 juta negara indonesia terkonyol di dunia,positif
kurang pe ngawasan dn dimamampaatkn oknum dn banyk yang bikin setok dn ahirnya uang jeda dikorupsi,netral
berarti pak purbaya slalu senyum di depan prabowo tetap cemungut,positif
kalau prabowo berani miskinkan koruptor indonesia makmur syg prabowo cuma bisa gertak stafnya tapi tidak bergerak pak prabowo yang tgs dong seperti narasi anda memiskinkan koruptor usir aguan si pemagar laut usir perampok sumber daya alam indonesia,negatif
hahahaha huhuhuhu hihihihihi apa yang kalian boleh perbuat hahahaha huhuhuhu hihihihihi uang sampah uang sampah yang tidak berguna di mata dunia hahahaha huhuhuhu hihihihihi amin amin ya rabbi alamin,netral
bagaimana cara menurunkan dollar apa indonesia bisa menurunkan nya seperti ke pemimpinan pak habibie,netral
siap mati untuk mengungkap kasus makan bergizi gratis siap tidak untuk dipenjara,negatif
nurut dengan amerika disuruh bos beli kacung nurut saja padahal negara lain menyuarakan dedolarisasi,netral
ternyata jilbab itu diciptakan cara pengusaha mendulang uang sebanyak mungkin pengusaha china malah lebih cerdik buat jilbab semurah mungkin agar tampak islami langsung diburu banyak wanita muslim dunia cuma rp 2000 kali 100 juta pasti komunis china makin kaya dengan fashion label islami,negatif
terus solusix buat indonesia bagaimana bang jangan cmn cerita tok lho y,positif
di taiwan masakn6a di sekolah di masak pagi jam 9 siang di makan nasinya dikit sayurnya 4 macam telur daging kl di indonesia saya lihatnya bikin ngakak nasi sayurnya cuma satu sama swiwi pitek bilin slilitden tidak ada gizi,negatif
bloomberg itu media asing yang memang tidak suka indonesia maju tetap percaya pada kebijakan pemerintah ekspor satu pintu,positif
this ain t my shit mending pekerjaan humaniter atau pekerjaan kemanusiaan,negatif
kok purbaya penyebab utamanya prabowo subianto,negatif
lambat stres duwit banyak rakyat rendah,negatif
prabowo subianto kata rakyat nya no 1 bahagia di dunia,negatif
sarwonoal syarweqi7566 beda dulu masih naik perahu berbulan berbulan dan tidak pake dollar,negatif
sekalian impor sana sawahnya sekalian prabowo,negatif
sinyal kan akan jadi melejit harganya terima kasih bang wardi s ip terima kasih,positif
rupiah kayak kumuh sungai ciliwong,negatif
ha ha ha me teri pertanian jadi bulan bulan an amerika,negatif
apakah people power akan terjadi lagi seperti 98,negatif
mari selalu berbuat banyak kebaikan,negatif
sewaktu mulyono di angkat jadi team danantara ihsg langsung anjlok sudah jelas disini kalau investor asing tidak mau ada nama mulyono,negatif
semua itu dalangnya prabowo dan yang memilih prabowo yang harus bertanggung jawab bagaimana bertindak sebagai mana mestinya,negatif
